1100099,14
1100099,7
1100099,4
718821,17
718821,1
118,2
118,4
118,8
118,9
832964,10
832964,7
832964,18
916192,3
916192,7
916192,14
916192,9
823464,1
823464,2
823464,15
7451,1
7451,2
7451,17
7451,5
1241982,3
1241982,2
1241982,8
1241982,4
1357459,7
1357459,14
940551,3
940551,1
940551,2
940551,4
940551,8
1114513,11
1114513,17
1075676,1
1075676,7
1075676,10
1029575,1
1029575,4
1255017,4
762441,11
762441,15
762441,17
1364082,17
1364082,7
1064028,15
1064028,17
1064028,11
1059264,3
1059264,2
1059264,4
1059264,8
1215162,1
1215162,5
1215162,17
1025596,1
1025596,5
1025596,17
1041613,11
1041613,13
1041613,17
507241,1
507241,4
507241,5
198663,1
198663,13
198663,15
198663,17
929590,18
929590,1
929590,7
238,7
238,5
1029281,5
1029281,11
1029281,17
9479,9
9479,3
9479,8
786892,1
786892,15
786892,2
1023922,11
1023922,13
1023922,17
1226578,11
1226578,17
826510,8
826510,2
826510,9
826510,4
1160018,1
1160018,5
1160018,17
1160018,7
588648,1
588648,2
588648,3
588648,8
588648,9
1148172,17
1148172,13
1148172,7
1148172,5
1362101,7
72808,7
72808,14
877817,4
877817,1
877817,5
278,7
278,5
102651,9
102651,2
102651,1
102651,8
102651,14
360778,1
10439,9
10439,4
10439,8
385687,1
385687,5
385687,17
4247,4
1337309,1
1337309,5
1337309,7
1337309,17
475557,5
475557,17
475557,7
1064213,7
1064213,14
1064213,4
1066262,1
1066262,7
974262,9
974262,2
974262,8
974262,4
634649,1
634649,2
634649,15
1151949,1
1151949,5
1151949,17
1129598,1
1129598,17
1129598,11
360776,1
299536,2
299536,1
299536,15
831815,3
831815,4
831815,2
831815,8
671,2
671,9
1001311,1
1001311,7
1001311,11
1001311,17
14836,3
14836,8
14836,9
157336,2
157336,7
157336,15
120,2
120,9
120,1
901060,11
901060,1
901060,9
901060,17
1244880,15
1244880,7
259872,14
1308821,14
1308821,7
1308546,11
1308546,4
102899,15
102899,1
102899,2
1048241,1
1048241,4
829557,14
829557,7
567811,3
567811,4
567811,8
567811,9
603692,1
603692,17
603692,5
1012201,3
1012201,7
1186532,7
1186532,8
1147400,3
1147400,2
1147400,1
1147400,9
1147400,8
1210794,1
1210794,4
1210794,5
931944,11
931944,13
931944,10
315162,3
315162,2
315162,9
315162,4
315162,8
1207898,11
923667,1
923667,2
923667,5
923667,17
1182047,7
1182047,10
646097,5
646097,1
646097,17
646097,7
1174618,11
1174618,17
4011,9
4011,4
949484,1
949484,17
1137205,7
1137205,11
1137205,17
1153291,17
1153291,1
667538,15
667538,2
667538,1
323260,14
323260,7
323260,4
1139095,11
150540,3
150540,8
150540,2
150540,7
150540,4
402431,7
402431,9
402431,14
1141182,11
1141182,17
1207830,3
1207830,2
1207830,4
1207830,8
1134424,3
1134424,1
1134424,2
1134424,9
1134424,15
939243,15
939243,8
939243,4
939243,1
939243,2
1122504,11
411,2
411,8
411,9
98,1
98,7
98,2
1026436,17
1026436,4
1026436,7
693134,15
693134,2
697251,14
569094,3
569094,1
569094,2
569094,15
502356,3
502356,8
502356,2
502356,9
502356,4
228326,3
228326,2
228326,4
228326,8
228326,9
1358947,3
1358947,4
1264429,11
1264429,17
10195,2
10195,9
10195,1
1104844,3
1104844,1
1104844,7
1024127,1
1024127,17
1358752,17
1358752,1
882598,11
882598,13
103,5
103,7
438631,15
438631,2
5492,1
5492,17
5492,5
843527,14
843527,7
843527,4
102382,1
102382,2
102382,15
1156593,7
1156593,14
1116490,1
1116490,17
856289,1
856289,9
856289,18
10196,1
10196,2
10196,9
1209290,3
1209290,15
1209290,1
1186947,1
1186947,5
1186947,7
1072790,14
1072790,4
808,3
808,4
808,9
808,2
808,8
934433,11
934433,5
934433,17
1076708,6
1076708,12
1040148,3
1040148,8
1040148,9
1040148,4
122,2
122,9
122,1
840705,13
840705,17
840705,11
299534,2
299534,15
299534,1
1290409,11
1290409,17
835113,5
835113,7
835113,17
787699,4
787699,8
787699,9
1306764,11
1306764,17
983044,18
983044,7
1008042,11
1044741,7
673,2
673,9
414906,5
414906,13
